LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
AUT,HUR,TOT,PC_LF,1997,4.733333,
AUT,HUR,TOT,PC_LF,1998,4.725,
AUT,HUR,TOT,PC_LF,1999,4.15,
AUT,HUR,TOT,PC_LF,2000,3.933333,
AUT,HUR,TOT,PC_LF,2001,3.983333,
AUT,HUR,TOT,PC_LF,2002,4.383333,
AUT,HUR,TOT,PC_LF,2003,4.758333,B
AUT,HUR,TOT,PC_LF,2004,5.891667,
AUT,HUR,TOT,PC_LF,2005,6.033333,
AUT,HUR,TOT,PC_LF,2006,5.641667,
AUT,HUR,TOT,PC_LF,2007,5.216667,
AUT,HUR,TOT,PC_LF,2008,4.441667,
AUT,HUR,TOT,PC_LF,2009,5.666667,
AUT,HUR,TOT,PC_LF,2010,5.191667,
AUT,HUR,TOT,PC_LF,2011,4.9,
AUT,HUR,TOT,PC_LF,2012,5.191667,
AUT,HUR,TOT,PC_LF,2013,5.725,
AUT,HUR,TOT,PC_LF,2014,6.033333,
AUT,HUR,TOT,PC_LF,2015,6.15,
AUT,HUR,TOT,PC_LF,2016,6.45,
AUT,HUR,TOT,PC_LF,2017,5.925,
AUT,HUR,TOT,PC_LF,2018,5.208333,
AUT,HUR,TOT,PC_LF,2019,4.841667,
AUT,HUR,TOT,PC_LF,2020,6.025,
AUT,HUR,TOT,PC_LF,2021,6.2,
BEL,HUR,TOT,PC_LF,1983,10.74167,
BEL,HUR,TOT,PC_LF,1984,10.8,
BEL,HUR,TOT,PC_LF,1985,10.10833,
BEL,HUR,TOT,PC_LF,1986,10.03333,
BEL,HUR,TOT,PC_LF,1987,9.8,
BEL,HUR,TOT,PC_LF,1988,8.8,
BEL,HUR,TOT,PC_LF,1989,7.383333,
BEL,HUR,TOT,PC_LF,1990,6.55,
BEL,HUR,TOT,PC_LF,1991,6.441667,
BEL,HUR,TOT,PC_LF,1992,7.091667,
BEL,HUR,TOT,PC_LF,1993,8.625,
BEL,HUR,TOT,PC_LF,1994,9.75,
BEL,HUR,TOT,PC_LF,1995,9.675,
BEL,HUR,TOT,PC_LF,1996,9.541667,
BEL,HUR,TOT,PC_LF,1997,9.216666,
BEL,HUR,TOT,PC_LF,1998,9.341666,
BEL,HUR,TOT,PC_LF,1999,8.4,
BEL,HUR,TOT,PC_LF,2000,6.875,
BEL,HUR,TOT,PC_LF,2001,6.591667,
BEL,HUR,TOT,PC_LF,2002,7.525,
BEL,HUR,TOT,PC_LF,2003,8.175,
BEL,HUR,TOT,PC_LF,2004,8.391666,
BEL,HUR,TOT,PC_LF,2005,8.433333,
BEL,HUR,TOT,PC_LF,2006,8.25,
BEL,HUR,TOT,PC_LF,2007,7.483333,
BEL,HUR,TOT,PC_LF,2008,6.975,B
BEL,HUR,TOT,PC_LF,2009,7.991667,
BEL,HUR,TOT,PC_LF,2010,8.375,
BEL,HUR,TOT,PC_LF,2011,7.216667,
BEL,HUR,TOT,PC_LF,2012,7.633333,
BEL,HUR,TOT,PC_LF,2013,8.55,
BEL,HUR,TOT,PC_LF,2014,8.658334,
BEL,HUR,TOT,PC_LF,2015,8.65,
BEL,HUR,TOT,PC_LF,2016,7.941667,
BEL,HUR,TOT,PC_LF,2017,7.183333,
BEL,HUR,TOT,PC_LF,2018,6.033333,
BEL,HUR,TOT,PC_LF,2019,5.441667,
BEL,HUR,TOT,PC_LF,2020,5.758333,
BEL,HUR,TOT,PC_LF,2021,6.266667,
CAN,HUR,TOT,PC_LF,1955,4.408333,
CAN,HUR,TOT,PC_LF,1956,3.433333,
CAN,HUR,TOT,PC_LF,1957,4.65,
CAN,HUR,TOT,PC_LF,1958,7.066667,
CAN,HUR,TOT,PC_LF,1959,5.991667,
CAN,HUR,TOT,PC_LF,1960,6.991667,
CAN,HUR,TOT,PC_LF,1961,7.183333,
CAN,HUR,TOT,PC_LF,1962,5.958333,
CAN,HUR,TOT,PC_LF,1963,5.583333,
CAN,HUR,TOT,PC_LF,1964,4.708333,
CAN,HUR,TOT,PC_LF,1965,3.95,
CAN,HUR,TOT,PC_LF,1966,3.375,
CAN,HUR,TOT,PC_LF,1967,3.833333,
CAN,HUR,TOT,PC_LF,1968,4.525,
CAN,HUR,TOT,PC_LF,1969,4.425,
CAN,HUR,TOT,PC_LF,1970,5.675,
CAN,HUR,TOT,PC_LF,1971,6.2,
CAN,HUR,TOT,PC_LF,1972,6.233333,
CAN,HUR,TOT,PC_LF,1973,5.566667,
CAN,HUR,TOT,PC_LF,1974,5.333333,
CAN,HUR,TOT,PC_LF,1975,6.916667,B
CAN,HUR,TOT,PC_LF,1976,7.083333,
CAN,HUR,TOT,PC_LF,1977,8.058333,
CAN,HUR,TOT,PC_LF,1978,8.383333,
CAN,HUR,TOT,PC_LF,1979,7.55,
CAN,HUR,TOT,PC_LF,1980,7.55,
CAN,HUR,TOT,PC_LF,1981,7.633333,
CAN,HUR,TOT,PC_LF,1982,11.03333,
CAN,HUR,TOT,PC_LF,1983,12.03333,
CAN,HUR,TOT,PC_LF,1984,11.35,
CAN,HUR,TOT,PC_LF,1985,10.51667,
CAN,HUR,TOT,PC_LF,1986,9.6,
CAN,HUR,TOT,PC_LF,1987,8.833333,
CAN,HUR,TOT,PC_LF,1988,7.766667,
CAN,HUR,TOT,PC_LF,1989,7.566667,
CAN,HUR,TOT,PC_LF,1990,8.15,
CAN,HUR,TOT,PC_LF,1991,10.325,
CAN,HUR,TOT,PC_LF,1992,11.19167,
CAN,HUR,TOT,PC_LF,1993,11.4,
CAN,HUR,TOT,PC_LF,1994,10.41667,
CAN,HUR,TOT,PC_LF,1995,9.508333,
CAN,HUR,TOT,PC_LF,1996,9.608334,
CAN,HUR,TOT,PC_LF,1997,9.116667,
CAN,HUR,TOT,PC_LF,1998,8.283334,
CAN,HUR,TOT,PC_LF,1999,7.591667,
CAN,HUR,TOT,PC_LF,2000,6.816667,
CAN,HUR,TOT,PC_LF,2001,7.216667,
CAN,HUR,TOT,PC_LF,2002,7.675,
CAN,HUR,TOT,PC_LF,2003,7.575,
CAN,HUR,TOT,PC_LF,2004,7.191667,
CAN,HUR,TOT,PC_LF,2005,6.758333,
CAN,HUR,TOT,PC_LF,2006,6.35,
CAN,HUR,TOT,PC_LF,2007,6.066667,
CAN,HUR,TOT,PC_LF,2008,6.175,
CAN,HUR,TOT,PC_LF,2009,8.375,
CAN,HUR,TOT,PC_LF,2010,8.116667,
CAN,HUR,TOT,PC_LF,2011,7.558333,
CAN,HUR,TOT,PC_LF,2012,7.333333,
CAN,HUR,TOT,PC_LF,2013,7.125,
CAN,HUR,TOT,PC_LF,2014,6.941667,
CAN,HUR,TOT,PC_LF,2015,6.941667,
CAN,HUR,TOT,PC_LF,2016,7.05,
CAN,HUR,TOT,PC_LF,2017,6.4,
CAN,HUR,TOT,PC_LF,2018,5.891667,
CAN,HUR,TOT,PC_LF,2019,5.733333,
CAN,HUR,TOT,PC_LF,2020,9.558333,
CAN,HUR,TOT,PC_LF,2021,7.466667,
CZE,HUR,TOT,PC_LF,1993,4.308333,
CZE,HUR,TOT,PC_LF,1994,4.291667,
CZE,HUR,TOT,PC_LF,1995,4.008333,
CZE,HUR,TOT,PC_LF,1996,3.891667,
CZE,HUR,TOT,PC_LF,1997,4.775,
CZE,HUR,TOT,PC_LF,1998,6.466667,
CZE,HUR,TOT,PC_LF,1999,8.7,
CZE,HUR,TOT,PC_LF,2000,8.775,
CZE,HUR,TOT,PC_LF,2001,8.125,
CZE,HUR,TOT,PC_LF,2002,7.291667,
CZE,HUR,TOT,PC_LF,2003,7.775,
CZE,HUR,TOT,PC_LF,2004,8.291667,
CZE,HUR,TOT,PC_LF,2005,7.941667,
CZE,HUR,TOT,PC_LF,2006,7.133333,
CZE,HUR,TOT,PC_LF,2007,5.325,
CZE,HUR,TOT,PC_LF,2008,4.408333,
CZE,HUR,TOT,PC_LF,2009,6.683333,
CZE,HUR,TOT,PC_LF,2010,7.291667,
CZE,HUR,TOT,PC_LF,2011,6.716667,
CZE,HUR,TOT,PC_LF,2012,6.975,
CZE,HUR,TOT,PC_LF,2013,6.966667,
CZE,HUR,TOT,PC_LF,2014,6.116667,
CZE,HUR,TOT,PC_LF,2015,5.058333,
CZE,HUR,TOT,PC_LF,2016,3.966667,
CZE,HUR,TOT,PC_LF,2017,2.908333,
CZE,HUR,TOT,PC_LF,2018,2.266667,
CZE,HUR,TOT,PC_LF,2019,2.016667,
CZE,HUR,TOT,PC_LF,2020,2.55,
CZE,HUR,TOT,PC_LF,2021,2.808333,
DNK,HUR,TOT,PC_LF,1983,8.366667,
DNK,HUR,TOT,PC_LF,1984,7.916667,
DNK,HUR,TOT,PC_LF,1985,6.658333,
DNK,HUR,TOT,PC_LF,1986,4.991667,
DNK,HUR,TOT,PC_LF,1987,5.033333,
DNK,HUR,TOT,PC_LF,1988,5.658333,
DNK,HUR,TOT,PC_LF,1989,6.816667,
DNK,HUR,TOT,PC_LF,1990,7.175,
DNK,HUR,TOT,PC_LF,1991,7.85,
DNK,HUR,TOT,PC_LF,1992,8.6,
DNK,HUR,TOT,PC_LF,1993,9.55,
DNK,HUR,TOT,PC_LF,1994,7.7,
DNK,HUR,TOT,PC_LF,1995,6.716667,
DNK,HUR,TOT,PC_LF,1996,6.333333,
DNK,HUR,TOT,PC_LF,1997,5.241667,
DNK,HUR,TOT,PC_LF,1998,4.866667,
DNK,HUR,TOT,PC_LF,1999,5.166667,
DNK,HUR,TOT,PC_LF,2000,4.325,
DNK,HUR,TOT,PC_LF,2001,4.525,
DNK,HUR,TOT,PC_LF,2002,4.583333,
DNK,HUR,TOT,PC_LF,2003,5.408333,
DNK,HUR,TOT,PC_LF,2004,5.5,
DNK,HUR,TOT,PC_LF,2005,4.841667,
DNK,HUR,TOT,PC_LF,2006,3.908333,
DNK,HUR,TOT,PC_LF,2007,3.75,
DNK,HUR,TOT,PC_LF,2008,3.683333,
DNK,HUR,TOT,PC_LF,2009,6.408333,
DNK,HUR,TOT,PC_LF,2010,7.75,
DNK,HUR,TOT,PC_LF,2011,7.758333,
DNK,HUR,TOT,PC_LF,2012,7.783333,
DNK,HUR,TOT,PC_LF,2013,7.375,
DNK,HUR,TOT,PC_LF,2014,6.925,
DNK,HUR,TOT,PC_LF,2015,6.266667,
DNK,HUR,TOT,PC_LF,2016,5.983333,
DNK,HUR,TOT,PC_LF,2017,5.816667,
DNK,HUR,TOT,PC_LF,2018,5.15,
DNK,HUR,TOT,PC_LF,2019,5.025,
DNK,HUR,TOT,PC_LF,2020,5.625,
DNK,HUR,TOT,PC_LF,2021,5.1,
FIN,HUR,TOT,PC_LF,1988,4.208333,
FIN,HUR,TOT,PC_LF,1989,3.108333,
FIN,HUR,TOT,PC_LF,1990,3.166667,
FIN,HUR,TOT,PC_LF,1991,6.608333,
FIN,HUR,TOT,PC_LF,1992,11.70833,
FIN,HUR,TOT,PC_LF,1993,16.34167,
FIN,HUR,TOT,PC_LF,1994,16.58333,
FIN,HUR,TOT,PC_LF,1995,15.4,
FIN,HUR,TOT,PC_LF,1996,14.56667,
FIN,HUR,TOT,PC_LF,1997,12.64167,
FIN,HUR,TOT,PC_LF,1998,11.35833,
FIN,HUR,TOT,PC_LF,1999,10.21667,
FIN,HUR,TOT,PC_LF,2000,9.783334,
FIN,HUR,TOT,PC_LF,2001,9.125,
FIN,HUR,TOT,PC_LF,2002,9.075,
FIN,HUR,TOT,PC_LF,2003,9.008333,
FIN,HUR,TOT,PC_LF,2004,8.825,
FIN,HUR,TOT,PC_LF,2005,8.4,
FIN,HUR,TOT,PC_LF,2006,7.716667,
FIN,HUR,TOT,PC_LF,2007,6.866667,
FIN,HUR,TOT,PC_LF,2008,6.366667,B
FIN,HUR,TOT,PC_LF,2009,8.366667,
FIN,HUR,TOT,PC_LF,2010,8.541667,
FIN,HUR,TOT,PC_LF,2011,7.966667,
FIN,HUR,TOT,PC_LF,2012,7.808333,
FIN,HUR,TOT,PC_LF,2013,8.3,
FIN,HUR,TOT,PC_LF,2014,8.75,
FIN,HUR,TOT,PC_LF,2015,9.458333,
FIN,HUR,TOT,PC_LF,2016,8.916667,
FIN,HUR,TOT,PC_LF,2017,8.766666,
FIN,HUR,TOT,PC_LF,2018,7.433333,
FIN,HUR,TOT,PC_LF,2019,6.741667,
FIN,HUR,TOT,PC_LF,2020,7.725,
FIN,HUR,TOT,PC_LF,2021,7.675,
FRA,HUR,TOT,PC_LF,1983,8.758333,
FRA,HUR,TOT,PC_LF,1984,10.05,
FRA,HUR,TOT,PC_LF,1985,10.38333,
FRA,HUR,TOT,PC_LF,1986,10.55,
FRA,HUR,TOT,PC_LF,1987,10.65,
FRA,HUR,TOT,PC_LF,1988,10.06667,
FRA,HUR,TOT,PC_LF,1989,9.675,
FRA,HUR,TOT,PC_LF,1990,9.366667,
FRA,HUR,TOT,PC_LF,1991,9.625,
FRA,HUR,TOT,PC_LF,1992,10.64167,
FRA,HUR,TOT,PC_LF,1993,11.825,
FRA,HUR,TOT,PC_LF,1994,12.275,
FRA,HUR,TOT,PC_LF,1995,11.95,
FRA,HUR,TOT,PC_LF,1996,12.4,
FRA,HUR,TOT,PC_LF,1997,12.33333,
FRA,HUR,TOT,PC_LF,1998,12.05,
FRA,HUR,TOT,PC_LF,1999,11.31667,
FRA,HUR,TOT,PC_LF,2000,9.558333,
FRA,HUR,TOT,PC_LF,2001,8.741667,
FRA,HUR,TOT,PC_LF,2002,8.633333,B
FRA,HUR,TOT,PC_LF,2003,8.508333,
FRA,HUR,TOT,PC_LF,2004,8.9,
FRA,HUR,TOT,PC_LF,2005,8.883333,
FRA,HUR,TOT,PC_LF,2006,8.85,
FRA,HUR,TOT,PC_LF,2007,8.016666,
FRA,HUR,TOT,PC_LF,2008,7.433333,
FRA,HUR,TOT,PC_LF,2009,9.116667,
FRA,HUR,TOT,PC_LF,2010,9.275,
FRA,HUR,TOT,PC_LF,2011,9.216666,
FRA,HUR,TOT,PC_LF,2012,9.758333,
FRA,HUR,TOT,PC_LF,2013,10.3,
FRA,HUR,TOT,PC_LF,2014,10.275,
FRA,HUR,TOT,PC_LF,2015,10.35,
FRA,HUR,TOT,PC_LF,2016,10.06667,
FRA,HUR,TOT,PC_LF,2017,9.425,
FRA,HUR,TOT,PC_LF,2018,9.025,
FRA,HUR,TOT,PC_LF,2019,8.433333,
FRA,HUR,TOT,PC_LF,2020,8.033334,
FRA,HUR,TOT,PC_LF,2021,7.875,
DEU,HUR,TOT,PC_LF,1991,5.525,
DEU,HUR,TOT,PC_LF,1992,6.566667,
DEU,HUR,TOT,PC_LF,1993,7.791667,
DEU,HUR,TOT,PC_LF,1994,8.45,
DEU,HUR,TOT,PC_LF,1995,8.25,
DEU,HUR,TOT,PC_LF,1996,8.941667,
DEU,HUR,TOT,PC_LF,1997,9.675,
DEU,HUR,TOT,PC_LF,1998,9.45,
DEU,HUR,TOT,PC_LF,1999,8.625,
DEU,HUR,TOT,PC_LF,2000,8.008333,
DEU,HUR,TOT,PC_LF,2001,7.858333,
DEU,HUR,TOT,PC_LF,2002,8.683333,
DEU,HUR,TOT,PC_LF,2003,9.808333,
DEU,HUR,TOT,PC_LF,2004,10.5,
DEU,HUR,TOT,PC_LF,2005,11.28333,
DEU,HUR,TOT,PC_LF,2006,10.275,
DEU,HUR,TOT,PC_LF,2007,8.541667,
DEU,HUR,TOT,PC_LF,2008,7.425,
DEU,HUR,TOT,PC_LF,2009,7.225,
DEU,HUR,TOT,PC_LF,2010,6.575,
DEU,HUR,TOT,PC_LF,2011,5.516667,
DEU,HUR,TOT,PC_LF,2012,5.083333,
DEU,HUR,TOT,PC_LF,2013,4.95,
DEU,HUR,TOT,PC_LF,2014,4.708333,
DEU,HUR,TOT,PC_LF,2015,4.366667,
DEU,HUR,TOT,PC_LF,2016,3.908333,
DEU,HUR,TOT,PC_LF,2017,3.566667,
DEU,HUR,TOT,PC_LF,2018,3.208333,
DEU,HUR,TOT,PC_LF,2019,2.975,
DEU,HUR,TOT,PC_LF,2020,3.625,
DEU,HUR,TOT,PC_LF,2021,3.575,
GRC,HUR,TOT,PC_LF,1999,11.98333,
GRC,HUR,TOT,PC_LF,2000,11.23333,
GRC,HUR,TOT,PC_LF,2001,10.675,
GRC,HUR,TOT,PC_LF,2002,10.33333,
GRC,HUR,TOT,PC_LF,2003,9.741667,
GRC,HUR,TOT,PC_LF,2004,10.60833,
GRC,HUR,TOT,PC_LF,2005,10.00833,
GRC,HUR,TOT,PC_LF,2006,9.033334,
GRC,HUR,TOT,PC_LF,2007,8.416667,
GRC,HUR,TOT,PC_LF,2008,7.766667,
GRC,HUR,TOT,PC_LF,2009,9.75,
GRC,HUR,TOT,PC_LF,2010,12.95833,
GRC,HUR,TOT,PC_LF,2011,18.09167,
GRC,HUR,TOT,PC_LF,2012,24.80833,
GRC,HUR,TOT,PC_LF,2013,27.825,
GRC,HUR,TOT,PC_LF,2014,26.65,
GRC,HUR,TOT,PC_LF,2015,24.98333,
GRC,HUR,TOT,PC_LF,2016,23.875,
GRC,HUR,TOT,PC_LF,2017,21.84167,
GRC,HUR,TOT,PC_LF,2018,19.74167,
GRC,HUR,TOT,PC_LF,2019,17.88333,
GRC,HUR,TOT,PC_LF,2020,17.61667,
GRC,HUR,TOT,PC_LF,2021,14.79167,
HUN,HUR,TOT,PC_LF,1996,9.916667,
HUN,HUR,TOT,PC_LF,1997,9.05,
HUN,HUR,TOT,PC_LF,1998,8.708333,
HUN,HUR,TOT,PC_LF,1999,6.866667,
HUN,HUR,TOT,PC_LF,2000,6.266667,
HUN,HUR,TOT,PC_LF,2001,5.575,
HUN,HUR,TOT,PC_LF,2002,5.583333,
HUN,HUR,TOT,PC_LF,2003,5.741667,
HUN,HUR,TOT,PC_LF,2004,6.066667,
HUN,HUR,TOT,PC_LF,2005,7.175,
HUN,HUR,TOT,PC_LF,2006,7.458333,
HUN,HUR,TOT,PC_LF,2007,7.391667,
HUN,HUR,TOT,PC_LF,2008,7.8,B
HUN,HUR,TOT,PC_LF,2009,9.675,
HUN,HUR,TOT,PC_LF,2010,10.8,
HUN,HUR,TOT,PC_LF,2011,10.66667,
HUN,HUR,TOT,PC_LF,2012,10.675,
HUN,HUR,TOT,PC_LF,2013,9.85,
HUN,HUR,TOT,PC_LF,2014,7.5,
HUN,HUR,TOT,PC_LF,2015,6.633333,
HUN,HUR,TOT,PC_LF,2016,4.975,
HUN,HUR,TOT,PC_LF,2017,4.05,
HUN,HUR,TOT,PC_LF,2018,3.591667,
HUN,HUR,TOT,PC_LF,2019,3.3,
HUN,HUR,TOT,PC_LF,2020,4.125,
HUN,HUR,TOT,PC_LF,2021,4.05,
ISL,HUR,TOT,PC_LF,2003,3.516667,
ISL,HUR,TOT,PC_LF,2004,3.408333,
ISL,HUR,TOT,PC_LF,2005,2.883333,
ISL,HUR,TOT,PC_LF,2006,3.208333,
ISL,HUR,TOT,PC_LF,2007,2.475,
ISL,HUR,TOT,PC_LF,2008,3.333333,
ISL,HUR,TOT,PC_LF,2009,8.016666,
ISL,HUR,TOT,PC_LF,2010,8.3,
ISL,HUR,TOT,PC_LF,2011,7.675,
ISL,HUR,TOT,PC_LF,2012,6.633333,
ISL,HUR,TOT,PC_LF,2013,5.841667,
ISL,HUR,TOT,PC_LF,2014,5.408333,
ISL,HUR,TOT,PC_LF,2015,4.508333,
ISL,HUR,TOT,PC_LF,2016,3.341667,
ISL,HUR,TOT,PC_LF,2017,3.283333,
ISL,HUR,TOT,PC_LF,2018,3.1,
ISL,HUR,TOT,PC_LF,2019,3.933333,
ISL,HUR,TOT,PC_LF,2020,6.433333,
ISL,HUR,TOT,PC_LF,2021,6.008333,
IRL,HUR,TOT,PC_LF,1983,13.90833,
IRL,HUR,TOT,PC_LF,1984,15.5,
IRL,HUR,TOT,PC_LF,1985,16.81667,
IRL,HUR,TOT,PC_LF,1986,16.83333,
IRL,HUR,TOT,PC_LF,1987,16.625,
IRL,HUR,TOT,PC_LF,1988,16.225,
IRL,HUR,TOT,PC_LF,1989,14.73333,
IRL,HUR,TOT,PC_LF,1990,13.45,
IRL,HUR,TOT,PC_LF,1991,14.75833,
IRL,HUR,TOT,PC_LF,1992,15.39167,
IRL,HUR,TOT,PC_LF,1993,15.64167,
IRL,HUR,TOT,PC_LF,1994,14.34167,
IRL,HUR,TOT,PC_LF,1995,12.29167,
IRL,HUR,TOT,PC_LF,1996,11.66667,
IRL,HUR,TOT,PC_LF,1997,9.875,
IRL,HUR,TOT,PC_LF,1998,7.55,
IRL,HUR,TOT,PC_LF,1999,5.933333,
IRL,HUR,TOT,PC_LF,2000,4.4,
IRL,HUR,TOT,PC_LF,2001,4.175,
IRL,HUR,TOT,PC_LF,2002,4.725,
IRL,HUR,TOT,PC_LF,2003,4.85,
IRL,HUR,TOT,PC_LF,2004,4.741667,
IRL,HUR,TOT,PC_LF,2005,4.633333,
IRL,HUR,TOT,PC_LF,2006,4.791667,
IRL,HUR,TOT,PC_LF,2007,5,
IRL,HUR,TOT,PC_LF,2008,6.791667,
IRL,HUR,TOT,PC_LF,2009,12.65833,
IRL,HUR,TOT,PC_LF,2010,14.575,
IRL,HUR,TOT,PC_LF,2011,15.40833,
IRL,HUR,TOT,PC_LF,2012,15.48333,
IRL,HUR,TOT,PC_LF,2013,13.775,
IRL,HUR,TOT,PC_LF,2014,11.88333,
IRL,HUR,TOT,PC_LF,2015,9.925,
IRL,HUR,TOT,PC_LF,2016,8.408334,
IRL,HUR,TOT,PC_LF,2017,6.733333,
IRL,HUR,TOT,PC_LF,2018,5.775,
IRL,HUR,TOT,PC_LF,2019,4.975,
IRL,HUR,TOT,PC_LF,2020,5.85,
IRL,HUR,TOT,PC_LF,2021,6.266667,
ITA,HUR,TOT,PC_LF,1983,7.366667,P
ITA,HUR,TOT,PC_LF,1984,7.833333,P
ITA,HUR,TOT,PC_LF,1985,8.141666,P
ITA,HUR,TOT,PC_LF,1986,8.883333,P
ITA,HUR,TOT,PC_LF,1987,9.633333,P
ITA,HUR,TOT,PC_LF,1988,9.7,P
ITA,HUR,TOT,PC_LF,1989,9.7,P
ITA,HUR,TOT,PC_LF,1990,8.866667,P
ITA,HUR,TOT,PC_LF,1991,8.516666,P
ITA,HUR,TOT,PC_LF,1992,8.791667,
ITA,HUR,TOT,PC_LF,1993,9.725,
ITA,HUR,TOT,PC_LF,1994,10.65,
ITA,HUR,TOT,PC_LF,1995,11.18333,
ITA,HUR,TOT,PC_LF,1996,11.16667,
ITA,HUR,TOT,PC_LF,1997,11.21667,
ITA,HUR,TOT,PC_LF,1998,11.3,
ITA,HUR,TOT,PC_LF,1999,10.86667,
ITA,HUR,TOT,PC_LF,2000,10.05,
ITA,HUR,TOT,PC_LF,2001,9.008333,
ITA,HUR,TOT,PC_LF,2002,8.475,
ITA,HUR,TOT,PC_LF,2003,8.433333,B
ITA,HUR,TOT,PC_LF,2004,8.05,
ITA,HUR,TOT,PC_LF,2005,7.783333,
ITA,HUR,TOT,PC_LF,2006,6.866667,
ITA,HUR,TOT,PC_LF,2007,6.15,
ITA,HUR,TOT,PC_LF,2008,6.775,
ITA,HUR,TOT,PC_LF,2009,7.875,
ITA,HUR,TOT,PC_LF,2010,8.541667,
ITA,HUR,TOT,PC_LF,2011,8.508333,
ITA,HUR,TOT,PC_LF,2012,10.88333,
ITA,HUR,TOT,PC_LF,2013,12.36667,
ITA,HUR,TOT,PC_LF,2014,12.825,
ITA,HUR,TOT,PC_LF,2015,12,
ITA,HUR,TOT,PC_LF,2016,11.75,
ITA,HUR,TOT,PC_LF,2017,11.25833,
ITA,HUR,TOT,PC_LF,2018,10.6,
ITA,HUR,TOT,PC_LF,2019,9.933333,
ITA,HUR,TOT,PC_LF,2020,9.3,
ITA,HUR,TOT,PC_LF,2021,9.558333,
JPN,HUR,TOT,PC_LF,1955,2.508333,
JPN,HUR,TOT,PC_LF,1956,2.291667,
JPN,HUR,TOT,PC_LF,1957,1.925,
JPN,HUR,TOT,PC_LF,1958,2.041667,
JPN,HUR,TOT,PC_LF,1959,2.225,
JPN,HUR,TOT,PC_LF,1960,1.625,
JPN,HUR,TOT,PC_LF,1961,1.433333,
JPN,HUR,TOT,PC_LF,1962,1.283333,
JPN,HUR,TOT,PC_LF,1963,1.283333,
JPN,HUR,TOT,PC_LF,1964,1.175,
JPN,HUR,TOT,PC_LF,1965,1.216667,
JPN,HUR,TOT,PC_LF,1966,1.308333,
JPN,HUR,TOT,PC_LF,1967,1.258333,
